,Quarter,Time,Tm,Detail,GNB,MIN
0,1.0,,Packers,Ryan Longwell 30 yard field goal,3,0
1,2.0,,Vikings,Eddie Murray 42 yard field goal,3,3
2,2.0,,Packers,Robert Brooks 18 yard pass from Brett Favre (Ryan Longwell kick),10,3
3,3.0,,Packers,Dorsey Levens 3 yard rush (Ryan Longwell kick),17,3
4,4.0,,Packers,Ryan Longwell 19 yard field goal,20,3
5,4.0,,Vikings,Leroy Hoard 4 yard rush (Cris Carter pass from Randall Cunningham),20,11
6,4.0,,Packers,Dorsey Levens 5 yard rush (Ryan Longwell kick),27,11
