,Quarter,Tm,Detail,SEA,ATL
0,1.0,Falcons,Lynn Cain 35 yard rush (Tim Mazzetti kick),0,7
1,2.0,Falcons,Rick Byas 30 yard special teams fumble return (Tim Mazzetti kick),0,14
2,2.0,Seahawks,Jim Zorn 34 yard rush (Efren Herrera kick),7,14
3,2.0,Seahawks,Sherman Smith 4 yard pass from Jim Zorn (Efren Herrera kick),14,14
4,2.0,Seahawks,Dan Doornink 8 yard rush (Efren Herrera kick),21,14
5,3.0,Seahawks,Efren Herrera 24 yard field goal,24,14
6,4.0,Falcons,Billy Ryckman 17 yard pass from Steve Bartkowski (Tim Mazzetti kick),24,21
7,4.0,Seahawks,Dan Doornink 26 yard rush (Efren Herrera kick),31,21
8,4.0,Falcons,Billy Ryckman 20 yard pass from Steve Bartkowski (Tim Mazzetti kick),31,28
