,Quarter,Tm,Detail,SDG,DEN
0,1.0,Chargers,Rolf Benirschke 42 yard field goal,3,0
1,1.0,Chargers,Rolf Benirschke 41 yard field goal,6,0
2,2.0,Broncos,Rich Karlis 30 yard field goal,6,3
3,2.0,Broncos,Rich Karlis 50 yard field goal,6,6
4,3.0,Broncos,Sammy Winder 4 yard rush (Rich Karlis kick),6,13
5,4.0,Chargers,Buford McGee 4 yard pass from Ed Luther (Rolf Benirschke kick),13,13
6,4.0,Broncos,Rich Karlis 28 yard field goal,13,16
