,Quarter,Tm,Detail,TAM,SDG
0,1.0,Chargers,Ronnie Harmon 3 yard pass from Stan Humphries (John Carney kick),0,7
1,1.0,Chargers,"Safety, Mims tackled Testaverde in end zone",0,9
2,1.0,Chargers,John Carney 28 yard field goal,0,12
3,2.0,Buccaneers,Ron Hall 10 yard pass from Vinny Testaverde (Eddie Murray kick),7,12
4,2.0,Chargers,John Carney 31 yard field goal,7,15
5,2.0,Chargers,Ronnie Harmon 6 yard rush (John Carney kick),7,22
6,4.0,Buccaneers,Vinny Testaverde 1 yard rush (Eddie Murray kick),14,22
7,4.0,Chargers,Stan Humphries 4 yard rush (John Carney kick),14,29
