,Quarter,Tm,Detail,STL,BAL
0,1.0,Colts,Lenny Moore 17 yard pass from Johnny Unitas (Steve Myhra kick),0,7
1,2.0,Colts,Steve Myhra 36 yard field goal,0,10
2,3.0,Colts,Steve Myhra 27 yard field goal,0,13
3,3.0,Colts,Steve Myhra 35 yard field goal,0,16
