,Quarter,Tm,Detail,CHI,RAM
0,2.0,Bears,Les McDonald 18 yard pass from Bernie Masterson (Jack Manders kick),7,0
1,2.0,Bears,Jack Manders 19 yard field goal,10,0
2,3.0,Bears,Jack Manders 33 yard field goal,13,0
3,4.0,Rams,"Safety, Snyder tackled Feathers in end zone",13,2
4,4.0,Bears,Eggs Manske 55 yard interception return (Jack Manders kick),20,2
