,Quarter,Time,Tm,Detail,PHI,STL
0,1.0,11:14,Rams,Steven Jackson 47 yard rush (Josh Brown kick),0,7
1,1.0,8:13,Eagles,LeSean McCoy 7 yard pass from Michael Vick (Alex Henery kick),7,7
2,1.0,4:01,Eagles,Juqua Parker 56 yard defensive fumble return (Alex Henery kick),14,7
3,2.0,10:06,Rams,Josh Brown 49 yard field goal,14,10
4,2.0,0:05,Eagles,Alex Henery 34 yard field goal,17,10
5,3.0,5:41,Eagles,DeSean Jackson 6 yard pass from Michael Vick (Alex Henery kick),24,10
6,3.0,1:09,Rams,Josh Brown 23 yard field goal,24,13
7,4.0,8:46,Eagles,LeSean McCoy 49 yard rush (Alex Henery kick),31,13
