,Quarter,Tm,Detail,CHI,PHI
0,1,Bears,Dennis McKinnon 20 yard pass from Vince Evans (Bob Thomas kick),7,0
1,3,Eagles,Tony Franklin 24 yard field goal,7,3
2,4,Eagles,Tony Franklin 38 yard field goal,7,6
