,Quarter,Tm,Detail,PHO,ATL
0,1.0,Falcons,Andre Rison 30 yard pass from Billy Joe Tolliver (Norm Johnson kick),0,7
1,2.0,Falcons,Norm Johnson 27 yard field goal,0,10
2,2.0,Cardinals,John Jackson 5 yard pass from Chris Chandler (Greg Davis kick),7,10
3,2.0,Cardinals,Greg Davis 49 yard field goal,10,10
4,4.0,Falcons,Andre Rison 7 yard pass from Billy Joe Tolliver (Norm Johnson kick),10,17
5,4.0,Cardinals,Robert Massey 46 yard interception return (Greg Davis kick),17,17
6,4.0,Falcons,Norm Johnson 35 yard field goal,17,20
