,Quarter,Tm,Detail,DAL,DEN
0,1.0,Cowboys,Michael Irvin 6 yard pass from Troy Aikman (Lin Elliott kick),7,0
1,1.0,Cowboys,Michael Irvin 4 yard pass from Troy Aikman (Lin Elliott kick),14,0
2,1.0,Broncos,Vance Johnson 18 yard pass from Tommy Maddox (David Treadwell kick),14,7
3,2.0,Broncos,Mark Jackson 12 yard pass from Tommy Maddox,14,13
4,2.0,Cowboys,Lin Elliott 53 yard field goal,17,13
5,3.0,Cowboys,Jay Novacek 1 yard pass from Troy Aikman (Lin Elliott kick),24,13
6,3.0,Broncos,Reggie Rivers 23 yard pass from Tommy Maddox (David Treadwell kick),24,20
7,4.0,Broncos,Cedric Tillman 81 yard pass from Arthur Marshall (David Treadwell kick),24,27
8,4.0,Cowboys,Emmitt Smith 3 yard rush (Lin Elliott kick),31,27
