,Quarter,Tm,Detail,HOU,MIN
0,1.0,Vikings,Benny Ricardo 44 yard field goal,0,3
1,1.0,Vikings,Charlie Johnson 50 yard defensive fumble return (Benny Ricardo kick),0,10
2,1.0,Oilers,Earl Campbell 13 yard rush (Florian Kempf kick),7,10
3,1.0,Vikings,Steve Jordan 23 yard pass from Steve Dils (Benny Ricardo kick),7,17
4,2.0,Vikings,Benny Ricardo 28 yard field goal,7,20
5,3.0,Oilers,Chris Dressel 35 yard pass from Gifford Nielsen (Florian Kempf kick),14,20
6,4.0,Vikings,Ted Brown 4 yard rush (Benny Ricardo kick),14,27
7,4.0,Vikings,Ted Brown 7 yard rush (Benny Ricardo kick),14,34
