,Quarter,Tm,Detail,GNB,PHI
0,1.0,Eagles,Steve Van Buren 1 yard rush (Cliff Patton kick),0,7
1,2.0,Packers,Nolan Luhn 17 yard pass from Jack Jacobs (Ted Fritsch kick),7,7
2,2.0,Eagles,Steve Van Buren 3 yard rush (Cliff Patton kick),7,14
3,3.0,Eagles,Steve Van Buren 38 yard rush (Cliff Patton kick),7,21
4,3.0,Packers,Clyde Goodnight 11 yard pass from Jack Jacobs (Roy McKay kick),14,21
5,3.0,Eagles,Pete Pihos 66 yard pass from Tommy Thompson (Cliff Patton kick),14,28
