,Quarter,Tm,Detail,CIN,RAM
0,1,Bengals,James Brooks 27 yard pass from Boomer Esiason (Jim Breech kick),7,0
1,1,Bengals,James Brooks 9 yard pass from Boomer Esiason (Jim Breech kick),14,0
2,2,Bengals,Eric Ball 1 yard rush (Jim Breech kick),21,0
3,2,Rams,Cleveland Gary 2 yard rush (Mike Lansford kick),21,7
4,3,Rams,Flipper Anderson 55 yard pass from Jim Everett (Mike Lansford kick),21,14
5,3,Bengals,Harold Green 14 yard pass from Boomer Esiason (Jim Breech kick),28,14
6,3,Rams,Damone Johnson 9 yard pass from Jim Everett (Mike Lansford kick),28,21
7,4,Rams,Cleveland Gary 1 yard rush (Mike Lansford kick),28,28
8,4,Bengals,Jim Breech 40 yard field goal,31,28
9,4,Rams,Mike Lansford 40 yard field goal,31,31
10,OT,Bengals,Jim Breech 44 yard field goal,34,31
