,Quarter,Tm,Detail,TOR,NYG
0,1.0,Giants,Red Badgro 15 yard pass from Benny Friedman (Dale Burnett kick),0,7
1,1.0,Giants,Dale Burnett 5 yard rush (Dale Burnett kick),0,14
2,2.0,Giants,Mule Wilson 2 yard rush,0,20
3,2.0,Tornadoes,Johnny Tomaini 35 yard pass from Frank Kirkleski (Red Smith kick),7,20
4,4.0,Giants,Len Sedbrook 43 yard rush (Dale Burnett kick),7,27
5,4.0,Giants,Hap Moran 1 yard rush (Hap Moran kick),7,34
