,Quarter,Tm,Detail,GNB,WAS
0,1.0,Redskins,Ricky Thompson 20 yard pass from Joe Theismann (Mark Moseley kick),0,7
1,2.0,Packers,Walter Tullis 52 yard pass from Lynn Dickey (Tom Birney kick),7,7
2,2.0,Packers,Nate Simpson 2 yard rush (Tom Birney kick),14,7
3,2.0,Packers,Aundra Thompson 43 yard pass from Lynn Dickey (Tom Birney kick),21,7
4,3.0,Redskins,Danny Buggs 8 yard pass from Joe Theismann (Mark Moseley kick),21,14
5,4.0,Redskins,John McDaniel 39 yard pass from Joe Theismann (Mark Moseley kick),21,21
6,4.0,Redskins,John Riggins 12 yard pass from Joe Theismann (Mark Moseley kick),21,28
7,4.0,Redskins,Mark Moseley 33 yard field goal,21,31
8,4.0,Redskins,Ike Forte 20 yard rush (Mark Moseley kick),21,38
