,Quarter,Time,Tm,Detail,TAM,CAR
0,1,8:46,Buccaneers,Nate Byham 3 yard pass from Josh Freeman (Connor Barth kick),7,0
1,1,5:21,Buccaneers,Connor Barth 51 yard field goal,10,0
2,1,0:35,Panthers,Captain Munnerlyn 74 yard interception return (Justin Medlock kick),10,7
3,2,8:53,Panthers,Jonathan Stewart 1 yard rush (Justin Medlock kick),10,14
4,4,6:00,Panthers,Brandon LaFell 29 yard pass from Cam Newton (Justin Medlock kick),10,21
5,4,4:03,Buccaneers,Connor Barth 40 yard field goal,13,21
6,4,0:12,Buccaneers,Vincent Jackson 24 yard pass from Josh Freeman (Vincent Jackson pass from Josh Freeman ),21,21
7,OT,10:40,Buccaneers,Dallas Clark 15 yard pass from Josh Freeman,27,21
