,Quarter,Tm,Detail,CLE,GNB
0,1.0,Packers,Carroll Dale 47 yard pass from Bart Starr (Don Chandler kick),0,7
1,1.0,Browns,Gary Collins 17 yard pass from Frank Ryan,6,7
2,1.0,Browns,Lou Groza 24 yard field goal,9,7
3,2.0,Packers,Don Chandler 15 yard field goal,9,10
4,2.0,Packers,Don Chandler 23 yard field goal,9,13
5,2.0,Browns,Lou Groza 28 yard field goal,12,13
6,3.0,Packers,Paul Hornung 13 yard rush (Don Chandler kick),12,20
7,4.0,Packers,Don Chandler 29 yard field goal,12,23
