,Quarter,Time,Tm,Detail,JAX,HOU
0,2.0,14:11,Texans,Ka'imi Fairbairn 36 yard field goal,0,3
1,2.0,6:39,Jaguars,Keelan Cole 13 yard pass from Gardner Minshew II (Stephen Hauschka kick),7,3
2,2.0,4:41,Texans,Darren Fells 44 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),7,10
3,3.0,11:38,Texans,Ka'imi Fairbairn 33 yard field goal,7,13
4,4.0,14:24,Texans,Will Fuller 19 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),7,20
5,4.0,10:23,Jaguars,Collin Johnson 4 yard pass from Gardner Minshew II (Stephen Hauschka kick),14,20
6,4.0,7:32,Texans,Ka'imi Fairbairn 46 yard field goal,14,23
7,4.0,4:46,Texans,Brandin Cooks 28 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),14,30
