,Quarter,Time,Tm,Detail,CIN,IND
0,1.0,4:25,Colts,Peyton Manning 11 yard rush (Mike Vanderjagt kick),0,7
1,2.0,13:42,Colts,Marcus Pollard 3 yard pass from Peyton Manning (Mike Vanderjagt kick),0,14
2,2.0,8:02,Colts,Marvin Harrison 3 yard pass from Peyton Manning (Mike Vanderjagt kick),0,21
3,2.0,0:46,Bengals,Corey Dillon 2 yard rush (Neil Rackers kick),7,21
4,3.0,5:55,Bengals,Corey Dillon 67 yard rush (Neil Rackers kick),14,21
5,4.0,14:54,Colts,Edgerrin James 3 yard rush (Mike Vanderjagt kick),14,28
6,4.0,0:53,Bengals,Peter Warrick 30 yard pass from Jon Kitna (Neil Rackers kick),21,28
