,Quarter,Tm,Detail,PHO,NOR
0,2.0,Saints,Eric Martin 14 yard pass from John Fourcade (Morten Andersen kick),0,7
1,3.0,Cardinals,Ricky Proehl 37 yard pass from Timm Rosenbach (Al Del Greco kick),7,7
2,3.0,Saints,Rueben Mayes 10 yard rush (Morten Andersen kick),7,14
3,4.0,Saints,Rueben Mayes 4 yard rush (Morten Andersen kick),7,21
4,4.0,Saints,Rueben Mayes 14 yard rush (Morten Andersen kick),7,28
