,Quarter,Time,Tm,Detail,ARI,STL
0,1.0,9:31,Rams,Lamar Gordon 3 yard rush (Jeff Wilkins kick),0,7
1,1.0,0:39,Rams,Dane Looker 6 yard pass from Marc Bulger (Jeff Wilkins kick),0,14
2,2.0,7:45,Rams,Jeff Wilkins 24 yard field goal,0,17
3,2.0,0:36,Cardinals,Emmitt Smith 1 yard rush (Bill Gramatica kick),7,17
4,2.0,0:00,Rams,Jeff Wilkins 53 yard field goal,7,20
5,3.0,7:17,Rams,Jeff Wilkins 31 yard field goal,7,23
6,3.0,7:03,Cardinals,Josh Scobey 100 yard kickoff return (pass failed),13,23
7,4.0,13:11,Rams,Torry Holt 7 yard pass from Marc Bulger (Jeff Wilkins kick),13,30
8,4.0,4:06,Rams,Marc Bulger 2 yard rush (Jeff Wilkins kick),13,37
