,Quarter,Time,Tm,Detail,JAX,KAN
0,1.0,1:49,Chiefs,Albert Wilson 23 yard pass from Nick Foles (Cairo Santos kick),0,7
1,2.0,9:54,Chiefs,Cairo Santos 26 yard field goal,0,10
2,2.0,0:02,Jaguars,Allen Robinson 1 yard pass from Blake Bortles (Jason Myers kick),7,10
3,3.0,8:43,Chiefs,Cairo Santos 51 yard field goal,7,13
4,3.0,3:59,Chiefs,Cairo Santos 24 yard field goal,7,16
5,4.0,10:20,Chiefs,Cairo Santos 36 yard field goal,7,19
6,4.0,4:10,Jaguars,T.J. Yeldon 13 yard pass from Blake Bortles (Jason Myers kick),14,19
