,Quarter,Time,Tm,Detail,KAN,STL
0,1.0,6:56,Rams,Josh Brown 37 yard field goal,0,3
1,1.0,4:43,Rams,Josh Brown 52 yard field goal,0,6
2,2.0,6:49,Chiefs,Leonard Pope 2 yard pass from Matt Cassel (Ryan Succop kick),7,6
3,2.0,1:47,Chiefs,Jamaal Charles 2 yard rush (Ryan Succop kick),14,6
4,3.0,10:18,Chiefs,Ryan Succop 53 yard field goal,17,6
5,4.0,12:20,Chiefs,Ryan Succop 38 yard field goal,20,6
6,4.0,4:04,Rams,Steven Jackson 5 yard rush (Josh Brown kick),20,13
7,4.0,3:26,Chiefs,Thomas Jones 2 yard rush (Ryan Succop kick),27,13
