,Quarter,Tm,Detail,BOS,PHI
0,2.0,Eagles,Russ Craft 70 yard pass from Tommy Thompson (Cliff Patton kick),0,7
1,2.0,Eagles,Jack Ferrante 20 yard pass from Tommy Thompson (Cliff Patton kick),0,14
2,2.0,Eagles,Pete Pihos 26 yard pass from Tommy Thompson (Cliff Patton kick),0,21
3,2.0,Eagles,Cliff Patton 37 yard field goal,0,24
4,3.0,Eagles,Bosh Pritchard 2 yard pass from Tommy Thompson (Cliff Patton kick),0,31
5,4.0,Eagles,Neill Armstrong 14 yard pass from Bill Mackrides (Cliff Patton kick),0,38
6,4.0,Eagles,Jim Parmer 5 yard rush (Cliff Patton kick),0,45
