,Quarter,Time,Tm,Detail,KAN,SFO
0,1.0,7:06,49ers,Jose Cortez 42 yard field goal,0,3
1,1.0,2:13,Chiefs,Morten Andersen 33 yard field goal,3,3
2,2.0,11:13,49ers,Garrison Hearst 5 yard rush (Jose Cortez kick),3,10
3,2.0,9:06,Chiefs,Priest Holmes 12 yard rush (Morten Andersen kick),10,10
4,2.0,2:40,49ers,Kevan Barlow 6 yard rush (Jose Cortez kick),10,17
5,4.0,14:21,Chiefs,Morten Andersen 43 yard field goal,13,17
