,Quarter,Time,Tm,Detail,CHI,KAN
0,1.0,,Bears,Raymont Harris 14 yard rush (Jeff Jaeger kick),7,0
1,1.0,,Chiefs,Chris Penn 20 yard pass from Steve Bono (Pete Stoyanovich kick),7,7
2,2.0,,Chiefs,Kimble Anders 10 yard rush (Pete Stoyanovich kick),7,14
3,2.0,,Bears,Jeff Jaeger 49 yard field goal,10,14
