,Quarter,Tm,Detail,ATL,RAM
0,1,Falcons,Norm Johnson 46 yard field goal,3,0
1,2,Falcons,Norm Johnson 44 yard field goal,6,0
2,3,Falcons,Andre Rison 31 yard pass from Bobby Hebert (Norm Johnson kick),13,0
