,Quarter,Time,Tm,Detail,KAN,ATL
0,1.0,,Chiefs,J.J. Birden 13 yard pass from Joe Montana (Lin Elliott kick),7,0
1,2.0,,Chiefs,Lin Elliott 48 yard field goal,10,0
2,3.0,,Chiefs,Donnell Bennett 3 yard rush (Lin Elliott kick),17,0
3,3.0,,Falcons,Norm Johnson 33 yard field goal,17,3
4,4.0,,Chiefs,Lin Elliott 19 yard field goal,20,3
5,4.0,,Chiefs,Lin Elliott 45 yard field goal,23,3
6,4.0,,Falcons,Andre Rison 25 yard pass from Jeff George (Norm Johnson kick),23,10
7,4.0,,Chiefs,J.J. Birden 34 yard pass from Joe Montana (Lin Elliott kick),30,10
