,Quarter,Tm,Detail,IND,CHI
0,2.0,Bears,Kevin Butler 20 yard field goal,0,3
1,2.0,Colts,Raul Allegre 30 yard field goal,3,3
2,3.0,Bears,Walter Payton 16 yard rush (Kevin Butler kick),3,10
3,4.0,Bears,Calvin Thomas 3 yard rush (Kevin Butler kick),3,17
4,4.0,Colts,Wayne Capers 61 yard pass from Mike Pagel (Raul Allegre kick),10,17
