,Quarter,Time,Tm,Detail,MIA,ARI
0,1.0,12:20,Cardinals,Anquan Boldin 79 yard pass from Kurt Warner (Neil Rackers kick),0,7
1,1.0,5:40,Cardinals,Anquan Boldin 3 yard pass from Kurt Warner (Neil Rackers kick),0,14
2,2.0,8:46,Cardinals,Neil Rackers 45 yard field goal,0,17
3,3.0,10:29,Cardinals,Tim Hightower 1 yard rush (Neil Rackers kick),0,24
4,3.0,5:26,Dolphins,Dan Carpenter 32 yard field goal,3,24
5,3.0,1:27,Cardinals,Anquan Boldin 8 yard pass from Kurt Warner (Neil Rackers kick),3,31
6,4.0,2:38,Dolphins,Ronnie Brown 1 yard rush (Dan Carpenter kick),10,31
