,Quarter,Tm,Detail,NWE,BUF
0,1.0,Patriots,John Smith 41 yard field goal,3,0
1,2.0,Bills,Frank Lewis 14 yard pass from Joe Ferguson (Nick Mike-Mayer kick),3,7
2,2.0,Bills,Frank Lewis 12 yard pass from Joe Ferguson (Nick Mike-Mayer kick),3,14
3,3.0,Patriots,Russ Francis 26 yard pass from Steve Grogan (John Smith kick),10,14
4,3.0,Patriots,John Smith 32 yard field goal,13,14
5,4.0,Bills,Nick Mike-Mayer 23 yard field goal,13,17
6,4.0,Bills,Joe Cribbs 16 yard rush (Nick Mike-Mayer kick),13,24
7,4.0,Bills,Joe Cribbs 5 yard rush (Nick Mike-Mayer kick),13,31
