,Quarter,Time,Tm,Detail,PIT,ARI
0,1.0,4:24,Steelers,Chris Boswell 30 yard field goal,3,0
1,1.0,3:13,Steelers,Diontae Johnson 85 yard punt return (Chris Boswell kick),10,0
2,2.0,11:19,Cardinals,Zane Gonzalez 30 yard field goal,10,3
3,2.0,1:57,Cardinals,Charles Clay 5 yard pass from Kyler Murray (Zane Gonzalez kick),10,10
4,2.0,0:04,Steelers,Chris Boswell 37 yard field goal,13,10
5,3.0,2:05,Steelers,Diontae Johnson 2 yard pass from Devlin Hodges (Chris Boswell kick),20,10
6,4.0,6:49,Cardinals,David Johnson 24 yard pass from Kyler Murray (Zane Gonzalez kick),20,17
7,4.0,1:46,Steelers,Chris Boswell 25 yard field goal,23,17
