,Quarter,Tm,Detail,PIT,PHI
0,1.0,Steelers,Bobby Layne 10 yard rush (Bobby Layne kick),7,0
1,1.0,Eagles,Billy Ray Barnes 3 yard rush (Bobby Walston kick),7,7
2,2.0,Eagles,Art Powell 58 yard punt return (Bobby Walston kick),7,14
3,2.0,Steelers,Bobby Layne 12 yard field goal,10,14
4,3.0,Eagles,Norm Van Brocklin 1 yard rush (Bobby Walston kick),10,21
5,3.0,Steelers,Tom Tracy 11 yard pass from Bobby Layne (Bobby Layne kick),17,21
6,4.0,Eagles,Tommy McDonald 18 yard pass from Norm Van Brocklin (Bobby Walston kick),17,28
7,4.0,Steelers,Jimmy Orr 17 yard pass from Bobby Layne (Bobby Layne kick),24,28
