,Quarter,Tm,Detail,NOR,ATL
0,1.0,Falcons,Art Malone 1 yard rush (Bill Bell kick),0,7
1,1.0,Saints,Happy Feller 19 yard field goal,3,7
2,2.0,Falcons,Dave Hampton 16 yard rush (Bill Bell kick),3,14
3,2.0,Falcons,"Safety, Manning tackled by Lewis in end zone",3,16
4,2.0,Falcons,Bob Berry 2 yard rush (Bill Bell kick),3,23
5,2.0,Falcons,Bill Bell 37 yard field goal,3,26
6,3.0,Falcons,Ken Burrow 15 yard pass from Bob Berry (Bill Bell kick),3,33
7,3.0,Saints,Happy Feller 25 yard field goal,6,33
8,3.0,Saints,Bob Gresham 1 yard rush (Happy Feller kick),13,33
9,4.0,Falcons,Bill Bell 32 yard field goal,13,36
10,4.0,Saints,Robert Brown 2 yard pass from Archie Manning (Happy Feller kick),20,36
