,Quarter,Time,Tm,Detail,BAL,IND
0,1.0,,Colts,Cary Blanchard 27 yard field goal,0,3
1,2.0,,Colts,Brian Stablein 30 yard pass from Jim Harbaugh (Cary Blanchard kick),0,10
2,2.0,,Ravens,Derrick Alexander 23 yard pass from Vinny Testaverde (Matt Stover kick),7,10
3,2.0,,Colts,Cary Blanchard 30 yard field goal,7,13
4,3.0,,Ravens,Derrick Alexander 5 yard pass from Vinny Testaverde (Matt Stover kick),14,13
5,3.0,,Colts,Marshall Faulk 1 yard rush (Cary Blanchard kick),14,20
6,4.0,,Colts,Jeff Herrod 68 yard interception return (pass failed),14,26
7,4.0,,Ravens,Calvin Williams 3 yard pass from Vinny Testaverde (Matt Stover kick),21,26
