,Quarter,Tm,Detail,HOU,WAS
0,2,Redskins,Chip Lohmiller 21 yard field goal,0,3
1,2,Oilers,Ian Howfield 24 yard field goal,3,3
2,2,Oilers,Ian Howfield 23 yard field goal,6,3
3,3,Redskins,Chip Lohmiller 20 yard field goal,6,6
4,4,Redskins,Earnest Byner 23 yard rush (Chip Lohmiller kick),6,13
5,4,Oilers,Lorenzo White 1 yard rush (Ian Howfield kick),13,13
6,OT,Redskins,Chip Lohmiller 41 yard field goal,13,16
