,Quarter,Tm,Detail,NYG,RAM
0,1.0,Giants,Matt Bahr 44 yard field goal,3,0
1,2.0,Giants,Mark Bavaro 9 yard pass from Phil Simms (Matt Bahr kick),10,0
2,3.0,Rams,Cleveland Gary 3 yard rush (Mike Lansford kick),10,7
3,3.0,Giants,Rodney Hampton 19 yard rush (Matt Bahr kick),17,7
4,4.0,Giants,Ottis Anderson 3 yard rush (Matt Bahr kick),24,7
5,4.0,Giants,Lewis Tillman 1 yard rush (Matt Bahr kick),31,7
