,Quarter,Tm,Detail,PIT,DET
0,1.0,Pirates,Joe Skladany 62 yard pass from Harp Vaughan (Armand Niccolai kick),7,0
1,1.0,Lions,Frank Christensen 1 yard rush (Dutch Clark kick),7,7
2,2.0,Lions,Dutch Clark 45 yard rush,7,13
3,2.0,Lions,Harry Ebding 37 yard pass from Ernie Caddel (Dutch Clark kick),7,20
4,3.0,Lions,Ernie Caddel 32 yard interception return,7,26
5,3.0,Lions,Ernie Caddel 32 yard rush (Dutch Clark kick),7,33
6,4.0,Lions,Ernie Caddel 26 yard rush (Glenn Presnell kick),7,40
