,Quarter,Time,Tm,Detail,SEA,ARI
0,2.0,7:55,Cardinals,Chandler Catanzaro 27 yard field goal,0,3
1,2.0,7:03,Seahawks,Luke Willson 80 yard pass from Russell Wilson (Stephen Hauschka kick),7,3
2,2.0,3:41,Seahawks,Marshawn Lynch 6 yard rush (Stephen Hauschka kick),14,3
3,3.0,0:59,Cardinals,Chandler Catanzaro 32 yard field goal,14,6
4,4.0,11:59,Seahawks,Luke Willson 20 yard pass from Russell Wilson (Stephen Hauschka kick),21,6
5,4.0,10:14,Seahawks,Marshawn Lynch 79 yard rush (Stephen Hauschka kick),28,6
6,4.0,4:40,Seahawks,Russell Wilson 5 yard rush (Stephen Hauschka kick),35,6
