,Quarter,Tm,Detail,PIT,NYG
0,1.0,Steelers,Dale Dodrill 16 yard fumble return (Nick Bolkovac kick),7,0
1,3.0,Giants,Frank Gifford 6 yard pass from Charlie Conerly (Frank Gifford kick),7,7
2,4.0,Giants,Randy Clay 20 yard field goal,7,10
3,4.0,Steelers,Jack Butler 33 yard pass from Jim Finks (Nick Bolkovac kick),14,10
