,Quarter,Tm,Detail,OAK,HOU
0,1.0,Oilers,Toni Fritsch 23 yard field goal,0,3
1,2.0,Raiders,Chris Bahr 29 yard field goal,3,3
2,2.0,Oilers,Earl Campbell 1 yard rush (Toni Fritsch kick),3,10
3,3.0,Raiders,Chris Bahr 42 yard field goal,6,10
4,3.0,Raiders,Arthur Whittington 12 yard rush (Chris Bahr kick),13,10
5,4.0,Raiders,Chris Bahr 43 yard field goal,16,10
6,4.0,Oilers,Mike Barber 25 yard pass from John Reaves (Toni Fritsch kick),16,17
