,Quarter,Time,Tm,Detail,PIT,NWE
0,1.0,4:55,Patriots,Josh Gordon 20 yard pass from Tom Brady (Stephen Gostkowski kick),0,7
1,2.0,11:54,Patriots,Stephen Gostkowski 25 yard field goal,0,10
2,2.0,3:54,Patriots,Phillip Dorsett 25 yard pass from Tom Brady (Stephen Gostkowski kick),0,17
3,2.0,0:21,Patriots,Stephen Gostkowski 41 yard field goal,0,20
4,3.0,10:19,Steelers,Chris Boswell 19 yard field goal,3,20
5,3.0,8:13,Patriots,Phillip Dorsett 58 yard pass from Tom Brady (Stephen Gostkowski kick),3,27
6,3.0,0:16,Patriots,Stephen Gostkowski 35 yard field goal,3,30
7,4.0,6:41,Patriots,Stephen Gostkowski 39 yard field goal,3,33
