,Quarter,Time,Tm,Detail,ARI,SFO
0,1.0,10:35,Cardinals,Zane Gonzalez 26 yard field goal,3,0
1,1.0,4:07,Cardinals,Larry Fitzgerald 5 yard pass from Kyler Murray (Zane Gonzalez kick failed),9,0
2,2.0,9:07,Cardinals,Pharoh Cooper 5 yard pass from Kyler Murray (Zane Gonzalez kick),16,0
3,2.0,7:55,49ers,Ross Dwelley 4 yard pass from Jimmy Garoppolo (Chase McLaughlin kick),16,7
4,2.0,0:03,49ers,Chase McLaughlin 43 yard field goal,16,10
5,3.0,11:11,49ers,Ross Dwelley 5 yard pass from Jimmy Garoppolo (Chase McLaughlin kick),16,17
6,3.0,2:58,Cardinals,Zane Gonzalez 43 yard field goal,19,17
7,4.0,12:17,49ers,Kendrick Bourne 2 yard pass from Jimmy Garoppolo (pass failed),19,23
8,4.0,6:35,Cardinals,Kyler Murray 22 yard rush (Zane Gonzalez kick),26,23
9,4.0,0:37,49ers,Jeff Wilson 25 yard pass from Jimmy Garoppolo (Chase McLaughlin kick),26,30
10,4.0,0:02,49ers,D.J. Reed 5 yard fumble return,26,36
