,Quarter,Time,Tm,Detail,WAS,PIT
0,1.0,3:02,Redskins,Eddie Murray 32 yard field goal,3,0
1,2.0,9:56,Steelers,Kris Brown 28 yard field goal,3,3
2,2.0,3:35,Steelers,Hank Poteat 53 yard punt return (Kris Brown kick),3,10
3,2.0,0:28,Steelers,Richard Huntley 3 yard rush (Kris Brown kick),3,17
4,4.0,10:42,Steelers,Richard Huntley 30 yard rush (Kris Brown kick),3,24
