,Quarter,Tm,Detail,PIT,ATL
0,1.0,Falcons,Greg Davis 27 yard field goal,0,3
1,2.0,Steelers,Earnest Jackson 1 yard rush (David Trout kick),7,3
2,2.0,Steelers,Russell Hairston 5 yard pass from Steve Bono (David Trout kick),14,3
3,3.0,Falcons,"Safety, Bono penalized for intentional grounding in end zone",14,5
4,4.0,Steelers,Steve Bono 1 yard rush (David Trout kick),21,5
5,4.0,Steelers,Joey Clinkscales 11 yard pass from Reggie Collier (David Trout kick),28,5
6,4.0,Falcons,Milton Barney 19 yard pass from Jeff Van Raaphorst (Greg Davis kick),28,12
