,Quarter,Time,Tm,Detail,ARI,MIN
0,1.0,,Vikings,Leroy Hoard 1 yard rush (Gary Anderson kick),0,7
1,2.0,,Vikings,Andrew Glover 15 yard pass from Randall Cunningham (Gary Anderson kick),0,14
2,2.0,,Vikings,Gary Anderson 34 yard field goal,0,17
3,2.0,,Cardinals,Mario Bates 1 yard rush (Chris Jacke kick),7,17
4,2.0,0:32,Vikings,Leroy Hoard 16 yard pass from Randall Cunningham (Gary Anderson kick),7,24
5,3.0,0:32,Cardinals,Mario Bates 1 yard rush (Chris Jacke kick),14,24
6,3.0,0:32,Vikings,Gary Anderson 20 yard field goal,14,27
7,3.0,0:32,Vikings,Randy Moss 2 yard pass from Randall Cunningham (Gary Anderson kick),14,34
8,4.0,0:32,Cardinals,Mario Bates 1 yard rush (Chris Jacke kick),21,34
9,4.0,0:32,Vikings,Leroy Hoard 6 yard rush (Gary Anderson kick),21,41
