,Quarter,Tm,Detail,CHI,DET
0,2.0,Lions,Gene Gedman 1 yard rush (Bobby Layne kick),0,7
1,2.0,Bears,George Blanda 11 yard field goal,3,7
2,2.0,Lions,Bobby Layne 15 yard rush (Bobby Layne kick),3,14
3,2.0,Bears,Rick Casares 5 yard pass from George Blanda (George Blanda kick),10,14
4,3.0,Lions,Dave Middleton 48 yard pass from Bobby Layne (Bobby Layne kick),10,21
5,4.0,Lions,Gene Gedman 9 yard pass from Bobby Layne (Bobby Layne kick),10,28
6,4.0,Lions,Bill Bowman 3 yard rush (Bobby Layne kick),10,35
7,4.0,Lions,Dave Middleton 18 yard pass from Harry Gilmer (Bobby Layne kick),10,42
