,Quarter,Tm,Detail,ATL,NOR
0,1.0,Falcons,Mick Luckhurst 38 yard field goal,3,0
1,1.0,Falcons,"Safety, Bryan tackled Todd in end zone",5,0
2,1.0,Saints,George Rogers 3 yard rush (Morten Andersen kick),5,7
3,2.0,Falcons,Alfred Jackson 50 yard pass from Steve Bartkowski (Mick Luckhurst kick),12,7
4,2.0,Saints,Tyrone Young 18 yard pass from Richard Todd (Morten Andersen kick),12,14
5,2.0,Falcons,Gerald Riggs 3 yard rush (Mick Luckhurst kick),19,14
6,2.0,Saints,George Rogers 4 yard rush (Morten Andersen kick),19,21
7,3.0,Falcons,Stacey Bailey 5 yard pass from Steve Bartkowski (Mick Luckhurst kick),26,21
8,4.0,Falcons,Gerald Riggs 1 yard rush (Mick Luckhurst kick),33,21
9,4.0,Saints,John Tice 3 yard pass from Richard Todd (Morten Andersen kick),33,28
10,4.0,Falcons,Mick Luckhurst 48 yard field goal,36,28
