,Quarter,Tm,Detail,BKN,DET
0,2.0,Lions,Glenn Presnell 28 yard field goal,0,3
1,3.0,Lions,"Safety, Kercheval pass hit goal post from end zone",0,5
2,3.0,Lions,Dutch Clark 1 yard rush (Dutch Clark kick),0,12
3,3.0,Lions,Glenn Presnell 48 yard pass from Ace Gutowsky (Glenn Presnell kick),0,19
4,3.0,Lions,"Safety, Kercheval tackled in end zone",0,21
5,3.0,Lions,Ace Gutowsky 3 yard rush (Glenn Presnell kick),0,28
