,Quarter,Time,Tm,Detail,DET,MIN
0,1.0,9:12,Vikings,Robert Smith 4 yard rush (Gary Anderson kick),0,7
1,1.0,0:55,Lions,Johnnie Morton 6 yard pass from Charlie Batch (Jason Hanson kick),7,7
2,2.0,12:53,Vikings,Gary Anderson 44 yard field goal,7,10
3,2.0,7:12,Lions,Jason Hanson 39 yard field goal,10,10
4,2.0,5:44,Vikings,Randy Moss 67 yard pass from Jeff George (Gary Anderson kick),10,17
5,4.0,4:56,Vikings,Leroy Hoard 3 yard rush (Gary Anderson kick),10,24
6,4.0,2:16,Lions,Johnnie Morton 36 yard pass from Gus Frerotte (Jason Hanson kick),17,24
