,Quarter,Tm,Detail,RAI,SEA
0,1,Seahawks,John Kasay 36 yard field goal,0,3
1,2,Seahawks,Louis Clark 11 yard pass from Jeff Kemp (John Kasay kick),0,10
2,2,Seahawks,Patrick Hunter 32 yard interception return (John Kasay kick),0,17
3,3,Raiders,Ethan Horton 8 yard pass from Jay Schroeder (Jeff Jaeger kick),7,17
4,4,Raiders,Jeff Jaeger 47 yard field goal,10,17
5,4,Raiders,Tim Brown 12 yard pass from Jay Schroeder (Jeff Jaeger kick),17,17
6,4,Seahawks,John Kasay 45 yard field goal,17,20
7,4,Raiders,Jeff Jaeger 49 yard field goal,20,20
8,OT,Raiders,Jeff Jaeger 37 yard field goal,23,20
