,Quarter,Tm,Detail,TAM,GNB
0,2.0,Packers,Sterling Sharpe 4 yard pass from Anthony Dilweg (Chris Jacke kick),0,7
1,2.0,Buccaneers,Steve Christie 33 yard field goal,3,7
2,3.0,Packers,Michael Haddix 2 yard pass from Anthony Dilweg (Chris Jacke kick),3,14
3,3.0,Packers,Chris Jacke 25 yard field goal,3,17
4,3.0,Buccaneers,Bruce Hill 11 yard pass from Vinny Testaverde (Steve Christie kick),10,17
5,4.0,Packers,Chris Jacke 25 yard field goal,10,20
