,Quarter,Time,Tm,Detail,IND,NOR
0,1.0,7:32,Saints,Wil Lutz 33 yard field goal,0,3
1,2.0,12:43,Saints,Michael Thomas 15 yard pass from Drew Brees (Wil Lutz kick),0,10
2,2.0,6:18,Saints,Tre'Quan Smith 21 yard pass from Drew Brees (Wil Lutz kick),0,17
3,2.0,0:02,Saints,Wil Lutz 26 yard field goal,0,20
4,3.0,7:13,Saints,Josh Hill 5 yard pass from Drew Brees (Wil Lutz kick),0,27
5,3.0,0:45,Saints,Taysom Hill 28 yard pass from Drew Brees (Wil Lutz kick),0,34
6,4.0,3:58,Colts,Jordan Wilkins 1 yard rush (Chase McLaughlin kick),7,34
