,Quarter,Time,Tm,Detail,JAX,IND
0,1.0,10:05,Jaguars,Jason Myers 47 yard field goal,3,0
1,1.0,5:57,Jaguars,Ben Koyack 14 yard pass from Blake Bortles (Jason Myers kick),10,0
2,2.0,5:45,Jaguars,Corey Grant 57 yard rush (Jason Myers kick),17,0
3,2.0,2:41,Colts,Adam Vinatieri 45 yard field goal,17,3
4,3.0,10:16,Colts,Robert Turbin 7 yard rush (Adam Vinatieri kick),17,10
5,3.0,0:12,Colts,Dwayne Allen 15 yard pass from Andrew Luck (Adam Vinatieri kick),17,17
6,4.0,1:33,Jaguars,Jason Myers 41 yard field goal,20,17
7,4.0,0:09,Colts,Jack Doyle 1 yard pass from Andrew Luck (Adam Vinatieri kick),20,24
