,Quarter,Time,Tm,Detail,MIA,CIN
0,1.0,,Bengals,Darnay Scott 51 yard pass from David Klingler (Doug Pelfrey kick),0,7
1,2.0,,Dolphins,Pete Stoyanovich 28 yard field goal,3,7
2,2.0,,Dolphins,Keith Byars 11 yard pass from Dan Marino (Pete Stoyanovich kick),10,7
3,3.0,,Dolphins,Mark Ingram 4 yard pass from Dan Marino (Pete Stoyanovich kick),17,7
4,4.0,,Dolphins,Pete Stoyanovich 27 yard field goal,20,7
5,4.0,,Dolphins,Pete Stoyanovich 32 yard field goal,23,7
