,Quarter,Tm,Detail,CLE,HOU
0,1.0,Browns,Cleo Miller 6 yard rush (Don Cockroft kick),7,0
1,2.0,Browns,Cleo Miller 1 yard rush (Don Cockroft kick),14,0
2,2.0,Oilers,Earl Campbell 1 yard rush (Toni Fritsch kick),14,7
3,3.0,Browns,Don Cockroft 25 yard field goal,17,7
4,3.0,Oilers,Dave Casper 30 yard pass from Ken Stabler (Toni Fritsch kick),17,14
