,Quarter,Time,Tm,Detail,NOR,STL
0,1.0,11:20,Rams,Cory Harkey 31 yard pass from Kellen Clemens (Greg Zuerlein kick),0,7
1,1.0,2:45,Rams,Lance Kendricks 4 yard pass from Kellen Clemens (Greg Zuerlein kick),0,14
2,2.0,14:57,Rams,Greg Zuerlein 31 yard field goal,0,17
3,2.0,10:17,Saints,Garrett Hartley 45 yard field goal,3,17
4,2.0,4:10,Rams,Zac Stacy 40 yard rush (Greg Zuerlein kick),3,24
5,3.0,2:42,Rams,Greg Zuerlein 35 yard field goal,3,27
6,4.0,11:25,Saints,Drew Brees 1 yard rush (run failed),9,27
7,4.0,3:07,Saints,Marques Colston 5 yard pass from Drew Brees (Garrett Hartley kick),16,27
