,Quarter,Time,Tm,Detail,OAK,KAN
0,1.0,5:09,Raiders,Napoleon Kaufman 4 yard pass from Rich Gannon (Sebastian Janikowski kick),7,0
1,2.0,6:38,Chiefs,Todd Peterson 27 yard field goal,7,3
2,2.0,2:49,Chiefs,Tony Gonzalez 14 yard pass from Elvis Grbac (Todd Peterson kick),7,10
3,2.0,0:12,Chiefs,Tony Richardson 15 yard pass from Elvis Grbac (Todd Peterson kick),7,17
4,3.0,10:16,Raiders,Sebastian Janikowski 47 yard field goal,10,17
5,4.0,9:25,Raiders,Tyrone Wheatley 7 yard pass from Rich Gannon (Sebastian Janikowski kick),17,17
6,4.0,0:25,Raiders,Sebastian Janikowski 43 yard field goal,20,17
