,Quarter,Time,Tm,Detail,NOR,LAR
0,1.0,8:46,Rams,Greg Zuerlein 24 yard field goal,0,3
1,2.0,11:10,Saints,Wil Lutz 34 yard field goal,3,3
2,2.0,0:07,Rams,Greg Zuerlein 22 yard field goal,3,6
3,3.0,9:59,Saints,Wil Lutz 52 yard field goal,6,6
4,3.0,5:43,Rams,Todd Gurley 4 yard rush (Greg Zuerlein kick),6,13
5,3.0,1:03,Rams,Brandin Cooks 2 yard pass from Jared Goff (Greg Zuerlein kick),6,20
6,4.0,11:02,Saints,Wil Lutz 42 yard field goal,9,20
7,4.0,8:39,Rams,Jared Goff 1 yard rush (Greg Zuerlein kick),9,27
