,Quarter,Time,Tm,Detail,CHI,PHI
0,1.0,9:54,Eagles,Riley Cooper 5 yard pass from Nick Foles (Alex Henery kick),0,7
1,1.0,7:44,Eagles,LeSean McCoy 1 yard rush (Alex Henery kick),0,14
2,1.0,1:27,Eagles,Brent Celek 10 yard pass from Nick Foles (Alex Henery kick),0,21
3,2.0,1:07,Eagles,Alex Henery 49 yard field goal,0,24
4,2.0,0:00,Bears,Robbie Gould 50 yard field goal,3,24
5,3.0,9:52,Eagles,"Safety, Matt Forte tackled in end zone by Cedric Thornton.",3,26
6,3.0,7:11,Eagles,LeSean McCoy 1 yard rush (Alex Henery kick),3,33
7,3.0,0:00,Bears,Brandon Marshall 6 yard pass from Jay Cutler (Earl Bennett pass from Jay Cutler ),11,33
8,4.0,11:19,Eagles,Chris Polk 10 yard rush (Alex Henery kick),11,40
9,4.0,8:00,Eagles,Brandon Boykin 54 yard interception return (Alex Henery kick),11,47
10,4.0,6:14,Eagles,Bryce Brown 65 yard rush (Alex Henery kick),11,54
