,Quarter,Tm,Detail,NYJ,MIA
0,1.0,Jets,Jim Turner 21 yard field goal,3,0
1,2.0,Dolphins,Howard Twilley 23 yard pass from Bob Griese (Garo Yepremian kick),3,7
2,2.0,Dolphins,Garo Yepremian 40 yard field goal,3,10
3,2.0,Jets,Eddie Bell 8 yard pass from Al Woodall (Jim Turner kick),10,10
4,4.0,Dolphins,Garo Yepremian 13 yard field goal,10,13
5,4.0,Dolphins,Garo Yepremian 21 yard field goal,10,16
