,Quarter,Time,Tm,Detail,CLE,ARI
0,1.0,1:51,Browns,Travis Prentice 1 yard rush (Phil Dawson kick),7,0
1,2.0,14:26,Browns,Travis Prentice 1 yard rush (Phil Dawson kick),14,0
2,2.0,12:00,Cardinals,Thomas Jones 10 yard rush (Cary Blanchard kick),14,7
3,2.0,9:08,Cardinals,Frank Sanders 53 yard pass from Jake Plummer,14,13
4,2.0,1:13,Cardinals,Cary Blanchard 36 yard field goal,14,16
5,3.0,8:55,Cardinals,Cary Blanchard 47 yard field goal,14,19
6,3.0,1:55,Cardinals,Frank Sanders 5 yard pass from Jake Plummer (Cary Blanchard kick),14,26
7,4.0,12:43,Browns,Travis Prentice 6 yard rush (Phil Dawson kick),21,26
8,4.0,3:00,Cardinals,Cary Blanchard 28 yard field goal,21,29
