,Quarter,Tm,Detail,CHI,SEA
0,2.0,Bears,Johnny Musso 2 yard rush,6,0
1,2.0,Seahawks,John McMakin 14 yard pass from Jim Zorn (John Leypoldt kick),6,7
2,3.0,Bears,James Scott 63 yard pass from Bob Avellini (Bob Thomas kick),13,7
3,3.0,Bears,James Scott 30 yard pass from Bob Avellini (Bob Thomas kick),20,7
4,3.0,Bears,Roland Harper 39 yard pass from Bob Avellini (Bob Thomas kick),27,7
5,4.0,Bears,Randy Burks 55 yard pass from Virgil Carter (Bob Thomas kick),34,7
