,Quarter,Tm,Detail,DET,GNB
0,1.0,Lions,Eddie Murray 22 yard field goal,3,0
1,1.0,Packers,Eddie Lee Ivery 2 yard pass from Lynn Dickey (Al Del Greco kick),3,7
2,2.0,Packers,Al Del Greco 33 yard field goal,3,10
3,2.0,Packers,Jessie Clark 6 yard rush (Al Del Greco kick),3,17
4,2.0,Packers,Al Del Greco 21 yard field goal,3,20
5,3.0,Packers,Phil Epps 9 yard pass from Lynn Dickey (Al Del Greco kick),3,27
6,3.0,Packers,Ed West 7 yard pass from Randy Wright (Al Del Greco kick),3,34
7,3.0,Packers,Phil Epps 28 yard pass from Randy Wright (Al Del Greco kick),3,41
8,3.0,Packers,"Safety, Brown tackled Ferguson in end zone",3,43
9,4.0,Lions,Alvin Moore 13 yard pass from Joe Ferguson (Eddie Murray kick),10,43
